date,symbol,open,high,low,close,volume,avg_spread,ticks
2026-02-27,GOOGL,304.86,312.3,303.83,310.32,958526,0.4686838073669488,15024
2026-02-27,MSFT,397.04,397.04,390.0,394.98,1138954,0.3162828393706544,27399
2026-02-27,QQQ,608.49,608.49,602.2,606.6,1073152,0.06852582326462965,16890
2026-02-27,SPY,688.86,688.86,681.66,684.88,3186094,0.020751010748446527,50729
2026-02-27,TSLA,407.0,407.11,398.13,401.75,1097264,0.44540225610511874,24252
2026-03-02,GOOGL,303.3,308.49,301.35,305.5,813930,0.3789952769428936,11703
2026-03-02,MSFT,389.82,401.18,389.82,398.27,649707,1.4863164454415163,16214
2026-03-02,QQQ,597.05,609.91,597.05,606.32,1787275,0.0278343927160283,29110
2026-03-02,SPY,677.99,688.59,677.83,686.0,3061981,0.022077089848621147,52132
2026-03-02,TSLA,394.24,404.5,388.3,402.8,799842,1.5559900185050177,17834
2026-03-03,GOOGL,299.98,303.945,296.73,302.0,1104172,0.3546753508021923,19909
2026-03-03,MSFT,391.84,406.69,390.33,403.83,915072,0.8276899408284031,21183
2026-03-03,QQQ,596.43,603.96,591.88,601.5,2505124,0.03304839948783606,39077
2026-03-03,SPY,676.87,682.58,669.67,678.82,4161344,0.02672668716146947,61509
2026-03-03,TSLA,391.41,396.73,385.4,390.9,1015792,0.3248694375502492,28654
2026-03-04,GOOGL,302.94,305.45,300.77,303.2,1065098,0.20193793911007013,17107
2026-03-04,MSFT,404.6,411.0,400.41,407.0,1006436,0.5827909748829284,23552
2026-03-04,QQQ,599.42,612.85,599.03,612.13,1219843,0.03778628104605847,21335
2026-03-04,SPY,678.98,687.09,678.98,685.96,2832871,0.01897408766518853,44463
2026-03-04,TSLA,390.33,408.33,390.33,405.61,1141707,0.39923668417104297,26709
2026-03-05,GOOGL,304.0,304.72,297.99,300.4,1580237,0.2702041573867853,16194
2026-03-05,MSFT,405.01,411.59,402.42,410.37,1059636,0.5238514920194298,24572
2026-03-05,QQQ,609.28,612.73,602.28,609.21,2407850,0.026163492800742785,34460
2026-03-05,SPY,685.3,685.9,675.63,680.42,2282972,0.025631780660377558,33933
2026-03-05,TSLA,404.95,408.61,399.5,404.51,786490,0.7510769494039137,17588
2026-03-06,GOOGL,297.9,300.51,293.96,298.09,642192,0.5585204625604853,12217
2026-03-06,MSFT,408.61,413.035,405.58,408.4,829439,0.5239512239512251,22032
2026-03-06,QQQ,608.33,608.56,598.4,599.83,1386310,0.050252963688975597,21445
2026-03-06,SPY,679.09,679.75,669.78,672.27,2242690,0.03266309655063726,31783
2026-03-06,TSLA,405.55,405.55,394.25,396.1,857124,0.2820112800392348,20462
2026-03-09,GOOGL,294.17,306.81,293.82,306.19,1178767,0.4672041315574887,18417
2026-03-09,MSFT,404.64,410.19,403.55,409.31,792755,0.9787616535819399,16335
2026-03-09,QQQ,590.72,609.27,589.66,604.74,1452152,0.048713931056936256,24579
2026-03-09,SPY,663.5,679.88,662.42,677.52,2574690,0.035610668532672654,37165
2026-03-09,TSLA,389.0,401.54,381.42,396.72,1010081,0.31743197278911506,24184
2026-03-10,GOOGL,305.01,309.51,304.99,307.12,661750,0.4580977102067299,10805
2026-03-10,MSFT,409.01,410.185,402.96,404.89,844326,0.4879468637006756,19150
2026-03-10,QQQ,609.86,613.26,605.5,608.34,2269501,0.031921071465085084,39175
2026-03-10,SPY,681.04,683.35,674.78,677.9,1791415,0.04290506208214007,26189
2026-03-10,TSLA,399.81,406.585,398.2,399.43,882575,0.5121260156522606,20109
2026-03-11,GOOGL,307.0,311.4,306.0,306.0,653901,0.3486456882948108,10773
2026-03-11,MSFT,405.99,409.01,401.61,402.0,537313,0.5507962346946007,14141
2026-03-11,QQQ,608.75,612.42,601.9,601.9,954405,0.031809505630845655,15719
2026-03-11,SPY,677.26,680.06,671.0,671.0,1233018,0.03235587118410028,20284
2026-03-11,TSLA,400.04,416.31,399.8,404.1,980960,0.4838107909708213,21797
2026-03-12,GOOGL,306.34,308.86,301.03,304.72,622156,0.40605884790716945,9660
2026-03-12,MSFT,402.95,406.06,401.71,402.3,709688,0.5719382901489536,16028
2026-03-12,QQQ,605.22,606.32,596.68,597.15,1840876,0.02475897842534823,30285
2026-03-12,SPY,673.18,674.05,665.85,667.58,2502189,0.027946814433809523,37722
2026-03-12,TSLA,408.5,408.5,394.56,395.5,852779,0.5571244334376895,21402
2026-03-13,GOOGL,306.09,307.69,300.45,301.83,506202,0.33230273417195005,9619
2026-03-13,MSFT,401.65,404.79,394.395,395.0,762470,0.3460404863078395,16944
2026-03-13,QQQ,594.8,603.585,592.31,592.31,2541627,0.029933790059313164,43498
2026-03-13,SPY,663.61,672.335,661.17,662.28,2663925,0.023200845471672712,43528
2026-03-13,TSLA,394.09,400.33,389.9,390.0,723099,0.42819528961009673,17748
2026-03-16,GOOGL,303.95,306.435,303.03,304.7,677450,0.20969425356040172,10041
2026-03-16,MSFT,397.8,400.6,394.79,399.36,768437,0.4084378013500476,17629
2026-03-16,QQQ,596.86,603.86,595.9,600.01,1192729,0.02860017633940046,19288
2026-03-16,SPY,664.94,672.05,664.29,668.7,2697264,0.02214076665001001,42032
2026-03-16,TSLA,394.94,403.71,394.0,395.15,756688,0.3612991461731171,19559
2026-03-17,GOOGL,304.88,311.42,304.88,310.99,715366,0.1930470692717579,11279
2026-03-17,MSFT,398.8,404.33,397.75,398.8,802342,0.4093502386634829,16787
2026-03-17,QQQ,598.02,605.88,597.05,603.62,1626267,0.01651103955841722,30437
2026-03-17,SPY,666.88,674.4,666.19,670.22,1435114,0.02764365062078101,22957
2026-03-17,TSLA,394.47,400.11,393.0,398.82,466019,0.915249704741015,11854
2026-03-18,GOOGL,310.38,312.48,306.5,307.69,483767,0.3092087101380303,8404
2026-03-18,MSFT,401.2,401.2,391.0,391.05,790528,0.27701299355358494,19856
2026-03-18,QQQ,607.02,607.76,592.82,593.88,1278355,0.047412258521290294,19774
2026-03-18,SPY,674.08,674.52,659.68,660.79,2444300,0.027106321542745428,38798
2026-03-18,TSLA,402.4,403.06,392.22,393.24,745212,0.22264896495312358,15893
2026-03-19,GOOGL,306.05,308.065,302.37,307.59,901775,0.2934323570432353,14340
2026-03-19,MSFT,390.99,392.6,387.07,389.5,1156884,0.22244463235886286,24834
